,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor,guardian_father,guardian_mother,school_MS,super
0,4,4,2,2,0,1,0,0,1,1,0,0,4,3,4,1,1,3,4,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,16.0
1,1,1,1,2,0,0,1,0,0,1,1,0,5,3,3,1,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15.5
2,1,1,1,2,0,1,0,0,1,1,1,0,4,3,2,2,3,3,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.5
3,4,2,1,3,0,0,1,1,1,1,1,1,3,2,2,1,1,5,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,26.5
4,3,3,1,2,0,0,1,0,1,1,0,0,4,3,2,1,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21.5
5,4,3,1,2,0,0,1,1,1,1,1,0,5,4,2,1,2,5,6,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,28.75
6,2,2,1,2,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11.0
7,4,4,2,2,0,1,1,0,1,1,0,0,4,1,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,19.0
8,3,2,1,2,0,0,1,0,1,1,1,0,4,2,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17.25
9,3,4,1,2,0,0,1,1,1,1,1,0,5,5,1,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.75
10,4,4,1,2,0,0,1,0,1,1,1,0,3,3,3,1,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,19.0
11,2,1,3,3,0,0,1,1,1,1,1,0,5,2,2,1,1,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,23.75
12,4,4,1,1,0,0,1,1,1,1,1,0,4,3,3,1,3,5,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,27.0
13,4,3,2,2,0,0,1,0,1,1,1,0,5,4,3,1,2,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,20.75
14,2,2,1,3,0,0,1,0,1,1,1,1,4,5,2,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.0
15,4,4,1,1,0,0,1,0,1,1,1,0,4,4,4,1,2,2,6,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,19.0
16,4,4,1,3,0,0,1,1,1,1,1,0,3,2,3,1,2,2,10,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,24.0
17,3,3,3,2,0,1,1,1,1,1,0,0,5,3,2,1,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,27.5
18,3,2,1,1,3,0,1,1,1,1,1,0,5,5,5,2,4,5,2,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,20.25
19,4,3,1,1,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,19.75
20,4,3,1,2,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,15.75
21,4,4,1,1,0,0,1,0,1,1,1,0,5,4,2,1,1,5,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,26.0
22,4,2,1,2,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,21.5
23,2,2,2,2,0,0,1,1,1,1,1,0,5,4,4,2,4,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20.0
24,2,4,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,27.5
